,piece,current_position,next_position,skip,reward
0,"(255, 0, 0)","(5, 4)","(4, 5)",-,0
1,"(255, 0, 0)","(5, 6)","(4, 7)",-,0
2,"(255, 0, 0)","(6, 7)","(5, 6)",-,0
3,"(255, 0, 0)","(5, 2)","(4, 1)",-,0
4,"(255, 0, 0)","(7, 6)","(6, 7)",-,0
5,"(255, 0, 0)","(6, 1)","(5, 2)",-,0
6,"(255, 0, 0)","(7, 2)","(6, 1)",-,0
7,"(255, 0, 0)","(6, 3)","(5, 4)",-,0
8,"(255, 0, 0)","(5, 4)","(4, 3)",-,0
9,"(255, 0, 0)","(4, 7)","(3, 6)",-,0
10,"(255, 0, 0)","(3, 6)","(2, 5)",-,0
11,"(255, 0, 0)","(4, 3)","(3, 4)",-,0
12,"(255, 0, 0)","(5, 2)","(4, 3)",-,0
13,"(255, 0, 0)","(5, 6)","(4, 7)",-,0
14,"(255, 0, 0)","(2, 5)","(1, 6)",-,0
15,"(255, 0, 0)","(3, 4)","(2, 5)",-,0
16,"(255, 0, 0)","(7, 4)","(6, 3)",-,0
17,"(255, 0, 0)","(6, 3)","(5, 2)",-,0
18,"(255, 0, 0)","(6, 7)","(5, 6)",-,0
19,"(255, 0, 0)","(5, 2)","(3, 4)","[(255, 255, 255)]",40
20,"(255, 0, 0)","(1, 6)","(0, 5)",-,4
21,"(255, 0, 0)","(6, 1)","(5, 2)",-,0
22,"(255, 0, 0)","(5, 2)","(4, 3)",-,0
23,"(255, 0, 0)","(7, 0)","(6, 1)",-,0
24,"(255, 0, 0)","(6, 1)","(5, 2)",-,0
25,"(255, 0, 0)","(2, 5)","(0, 7)","[(255, 255, 255)]",44
26,"(255, 0, 0)","(4, 7)","(3, 6)",-,0
27,"(255, 0, 0)","(0, 7)","(1, 6)",-,0
28,"(255, 0, 0)","(3, 4)","(2, 5)",-,0
29,"(255, 0, 0)","(2, 5)","(1, 4)",-,0
30,"(255, 0, 0)","(1, 6)","(2, 5)",-,0
31,"(255, 0, 0)","(5, 2)","(4, 3)",-,0
32,"(255, 0, 0)","(4, 3)","(3, 2)",-,0
33,"(255, 0, 0)","(1, 4)","(0, 3)",-,4
34,"(255, 0, 0)","(0, 3)","(1, 4)",-,0
35,"(255, 0, 0)","(3, 2)","(2, 3)",-,0
36,"(255, 0, 0)","(2, 5)","(3, 6)",-,0
37,"(255, 0, 0)","(3, 6)","(5, 4)","[(255, 255, 255)]",40
38,"(255, 0, 0)","(5, 4)","(7, 2)","[(255, 255, 255)]",44
39,"(255, 0, 0)","(7, 2)","(6, 1)",-,0
40,"(255, 0, 0)","(1, 4)","(0, 3)",-,4
41,"(255, 0, 0)","(6, 1)","(7, 2)",-,4
